Date,Gold,SP500,BCA,Telkom,Bitcoin
2023-10-06,8419.80859375,169.6999969482422,416.3477783203125,3302.24462890625,27946.59765625
2023-10-09,8443.130859375,172.82000732421875,419.0133056640625,3284.772216796875,27583.677734375
2023-10-10,8326.5126953125,172.52999877929688,421.1942138671875,3328.452880859375,27391.01953125
2023-10-11,8326.5126953125,173.7899932861328,422.91949462890625,3302.24462890625,26873.3203125
2023-10-12,8443.130859375,173.25999450683594,420.3412780761719,3345.925048828125,26756.798828125
2023-10-13,8466.455078125,178.8300018310547,418.2475891113281,3363.397216796875,26862.375
2023-10-16,8489.77734375,177.9600067138672,422.6481018066406,3284.772216796875,28519.466796875
2023-10-17,8349.8369140625,178.2899932861328,422.62872314453125,3310.98046875,28415.748046875
2023-10-18,8256.54296875,180.8699951171875,416.9971923828125,3276.036376953125,28328.341796875
2023-10-19,8163.248046875,183.08999633789062,413.333251953125,3258.564208984375,28719.806640625
2023-10-20,8373.1611328125,183.58999633789062,408.254150390625,3232.355712890625,29682.94921875
2023-10-23,8256.54296875,182.97000122070312,407.5466003417969,3153.73095703125,33086.234375
2023-10-24,8186.57177734375,182.9499969482422,410.6192321777344,3188.675048828125,33901.52734375
2023-10-25,8279.865234375,183.72000122070312,404.72601318359375,3144.99462890625,34502.8203125
2023-10-26,8139.923828125,184.00999450683594,399.87957763671875,3040.16162109375,34156.6484375
2023-10-27,8116.60107421875,186.14999389648438,398.0669860839844,3057.6337890625,33909.80078125
2023-10-30,8256.54296875,185.10000610351562,402.8262023925781,2987.7451171875,34502.36328125
2023-10-31,8163.248046875,184.08999633789062,405.35601806640625,3048.897705078125,34667.78125
2023-11-01,8023.3076171875,183.50999450683594,409.6790771484375,3162.466796875,35437.25390625
2023-11-02,8256.54296875,184.1199951171875,417.5303039550781,3162.466796875,34938.2421875
2023-11-03,8303.189453125,184.7899932861328,421.33966064453125,3118.786376953125,34732.32421875
2023-11-06,8443.130859375,183.35000610351562,422.308837890625,3188.675048828125,35037.37109375
2023-11-07,8373.1611328125,182.58999633789062,423.51080322265625,3118.786376953125,35443.5625
2023-11-08,8396.4833984375,180.77000427246094,423.8209228515625,3075.10595703125,35655.27734375
2023-11-09,8396.4833984375,181.49000549316406,420.51568603515625,3083.84228515625,36693.125
2023-11-10,8233.2197265625,179.50999450683594,427.0777587890625,3101.314208984375,37313.96875
2023-11-13,8279.865234375,180.50999450683594,426.670654296875,3075.10595703125,36502.35546875
2023-11-14,8326.5126953125,182.1199951171875,434.9483947753906,3057.6337890625,35537.640625
2023-11-15,8443.130859375,181.63999938964844,435.8692321777344,3101.314208984375,37880.58203125
2023-11-16,8466.455078125,183.69000244140625,436.4023742675781,3092.578125,36154.76953125
2023-11-17,8466.455078125,183.6699981689453,436.9451599121094,3101.314208984375,36596.68359375
2023-11-20,8279.865234375,183.3699951171875,440.3086242675781,3136.258544921875,37476.95703125
2023-11-21,8186.57177734375,185.35000610351562,439.34893798828125,3162.466796875,35813.8125
2023-11-22,8279.865234375,184.55999755859375,441.045166015625,3153.73095703125,37432.33984375
2023-11-24,8326.5126953125,185.52000427246094,441.31658935546875,3162.466796875,37720.28125
2023-11-27,8279.865234375,186.77000427246094,440.5218505859375,3214.883544921875,37254.16796875
2023-11-28,8279.865234375,189.25999450683594,440.9580078125,3293.50830078125,37831.0859375
2023-11-29,8303.189453125,189.5399932861328,440.64776611328125,3249.827880859375,37858.4921875
2023-11-30,8373.1611328125,188.75,442.3828430175781,3284.772216796875,37712.74609375
2023-12-01,8349.8369140625,192.00999450683594,444.9999084472656,3345.925048828125,38688.75
2023-12-04,8366.2412109375,187.86000061035156,442.6639099121094,3328.452880859375,41980.09765625
2023-12-05,8342.8056640625,187.14999389648438,442.57672119140625,3363.397216796875,44080.6484375
2023-12-06,8249.0673828125,187.83999633789062,440.7932434082031,3424.5498046875,43746.4453125
2023-12-07,8272.5029296875,188.14999389648438,444.1565856933594,3415.813720703125,43292.6640625
2023-12-08,8202.197265625,185.63999938964844,446.0661315917969,3442.02197265625,44166.6015625
2023-12-11,8202.197265625,183.58999633789062,447.8011779785156,3476.966552734375,41243.83203125
2023-12-12,8155.32666015625,183.49000549316406,449.84637451171875,3415.813720703125,41450.22265625
2023-12-13,8131.89208984375,187.6300048828125,456.0498046875,3424.5498046875,42890.7421875
2023-12-14,8483.416015625,188.72999572753906,457.513427734375,3442.02197265625,43023.97265625
2023-12-15,8647.458984375,187.0,456.7601013183594,3476.966552734375,41929.7578125
2023-12-18,8624.0244140625,187.85000610351562,459.3294372558594,3468.230224609375,42623.5390625
